post_id,title,category,score,comments,author,time,num_comments,engagement,is_popular
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,157,134,kisamoto,2026-04-09 23:20:41,0,0.0,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,95,73,SirHound,2026-04-09 23:20:44,0,0.0,False
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,189,56,akshay2603,2026-04-09 23:20:46,0,0.0,False
47706141,Research-Driven Agents: What Happens When Your Agent Reads Before It Codes,technology,8,1,hopechong,2026-04-09 23:20:53,0,0.0,False
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,383,46,WerWolv,2026-04-09 23:21:03,0,0.0,True
47660434,C# in Unity 2026: Writing more modern code,technology,65,73,hacker_13,2026-04-09 23:21:04,0,0.0,False
47687273,Git commands I run before reading any code,technology,2164,462,grepsedawk,2026-04-09 23:21:15,0,0.0,True
47706113,"Desalination Technology, by the Numbers",technology,7,0,Brajeshwar,2026-04-09 23:21:19,0,0.0,False
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,30,11,bjord,2026-04-09 23:21:22,0,0.0,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,380,360,chabons,2026-04-09 23:22:14,0,0.0,True
47663743,"Show HN: Moon simulator game, ray-casting",sports,83,18,JKCalhoun,2026-04-09 23:23:00,0,0.0,False
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,30,16,behat,2026-04-09 23:24:33,0,0.0,False
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,132,42,willmeyers,2026-04-09 23:25:01,0,0.0,False
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,3,0,eummm,2026-04-09 23:25:14,0,0.0,False
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,55,DamnInteresting,2026-04-09 23:25:19,0,0.0,False
